,artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
76,XXXTENTACION,?,SAD!,166605,True,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,hip-hop
77,Linkin Park,Meteora,Numb,185586,False,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,4,alternative
78,Wisin & Yandel;Chris Brown;T-Pain,Líderes,Algo Me Gusta De Ti,274946,False,0.627,0.768,11,-5.296,0,0.0325,0.00291,0.0,0.0598,0.237,127.953,4,latino
79,George Ezra,Staying at Tamara's,Shotgun,201287,False,0.673,0.735,5,-4.733,1,0.0457,0.286,0.0,0.242,0.754,115.744,4,singer-songwriter
80,Imagine Dragons,Evolve,Thunder,187146,False,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,rock
81,Billie Eilish,dont smile at me,idontwannabeyouanymore,203569,False,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,3,electro
82,Lauv;BTS,~how i'm feeling~,Who (feat. BTS),180413,False,0.632,0.339,11,-7.983,0,0.0337,0.546,0.0,0.104,0.0969,141.642,3,electro
83,Lil Tjay,True 2 Myself,F.N,224000,True,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,1,r-n-b
84,Yot Club,Bipolar,YKWIM?,212750,False,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3,indie
85,Jax,Victoria’s Secret,Victoria’s Secret,176124,True,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,4,songwriter
86,Jax Jones;MNEK,Where Did You Go (feat. MNEK),Where Did You Go? (feat. MNEK),177689,False,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,4,electro
87,Lord Huron,Strange Trails,The Night We Met,208211,False,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,3,indie
88,Queen,Jazz (2011 Remaster),Don't Stop Me Now - Remastered 2011,209413,False,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4,rock
89,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Heaven,243360,False,0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059,4,singer-songwriter
90,BLACKPINK,BORN PINK,Typa Girl,179172,True,0.918,0.585,7,-7.781,1,0.0889,0.0627,0.0,0.624,0.519,131.966,4,k-pop
91,beabadoobee,Beatopia,the perfect pair,177533,False,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,4,indie-pop
92,M.I.A.,Matangi,Bad Girls,227520,False,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,4,indie-pop
93,Paramore,Paramore,Ain't It Fun,296520,False,0.61,0.893,9,-3.681,1,0.0921,0.154,4.41e-05,0.021,0.673,104.031,4,emo
94,Travis Scott;HVME,Goosebumps (Remix),Goosebumps - Remix,162802,True,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,4,house
95,Anuel AA;Daddy Yankee;KAROL G;J Balvin;Ozuna,China,China,301714,False,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4,reggaeton
96,Blur,Blur (Special Edition),Song 2 - 2012 Remaster,121160,False,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4,alt-rock
97,Rauw Alejandro,Todo De Ti,Todo De Ti,199604,True,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,4,latino
98,Vansire,Angel Youth,From the Subway Train,57370,False,0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,4,indie
99,Yasser Desai;Neha Kakkar;Rajat Nagpal,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",231486,False,0.55,0.448,11,-9.117,1,0.0366,0.777,0.000459,0.111,0.388,147.986,4,pop-film
100,OneRepublic,Sunshine,Sunshine,163854,False,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,4,rock
101,Em Beihold,Numb Little Bug,Numb Little Bug,169237,False,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,4,songwriter
102,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,170977,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance
103,Chani Nattan;Inderpal Moga,Daku,Daku,131077,False,0.847,0.558,8,-5.855,0,0.0663,0.325,0.0,0.135,0.495,98.062,4,hip-hop
104,Piso 21;Manuel Turizo,Los Cachos,Los Cachos,212304,False,0.774,0.73,0,-3.865,1,0.134,0.108,0.0,0.194,0.421,91.966,4,reggae
105,Frank Ocean,Blonde,White Ferrari,248807,False,0.501,0.0958,0,-15.605,1,0.0433,0.77,0.0,0.298,0.204,108.741,4,soul
106,Jack Harlow,First Class,First Class,173947,True,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop
107,Selena Gomez & The Scene,When The Sun Goes Down,Who Says,195613,False,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,4,dance
108,Clairo,Immunity,Bags,260519,False,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4,indie
109,Pamungkas,Flying Solo,To the Bone,344571,False,0.668,0.727,7,-6.55,0,0.027,0.514,1.9e-05,0.1,0.939,139.991,4,singer-songwriter
110,Clean Bandit;Zara Larsson,What Is Love? (Deluxe Edition),Symphony (feat. Zara Larsson),212733,False,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,4,house
111,JIN,Jirisan (Original Television Soundtrack) Pt. 4,Yours,264840,False,0.488,0.427,6,-7.383,1,0.0382,0.354,0.0,0.0797,0.157,72.035,4,k-pop
112,Twisted Sister,Stay Hungry,We're Not Gonna Take It,219666,False,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,4,metal
113,Regard;Years & Years,Hallucination,Hallucination,174794,True,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02,4,edm
114,Paramore,This Is Why,This Is Why,207652,False,0.723,0.737,11,-7.566,0,0.0386,0.00435,0.00261,0.116,0.689,123.039,4,punk
115,Jimmy Eat World,Bleed American,The Middle,165853,False,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,4,punk
116,Green Day,Nimrod,Good Riddance (Time of Your Life),153466,True,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,4,punk
117,ZAYN,Mind Of Mine (Deluxe Edition),PILLOWTALK,202746,True,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,4,dance
118,The Animals,The Singles Plus,House of the Rising Sun,269906,False,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3,psych-rock
119,Luis Enrique,Ciclos,Yo No Sé Mañana,259853,False,0.653,0.827,4,-3.206,0,0.042,0.649,0.0,0.18,0.733,95.223,4,salsa
120,AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon,Brown Munde,Brown Munde,254400,False,0.854,0.611,8,-6.26,0,0.0864,0.223,0.0,0.119,0.417,100.024,4,pop
121,Manuel Turizo,La Bachata,La Bachata,162637,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,latino
122,Ice Cube,The Predator,It Was A Good Day,260000,True,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4,funk
123,Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,Feel My Rhythm,210253,False,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964,4,k-pop
124,All Time Low,"So Wrong, It's Right","Dear Maria, Count Me In",182826,False,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,4,punk-rock
125,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,173680,False,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,4,garage
126,Manuel Turizo,La Bachata,La Bachata,162637,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,reggae
127,Ben E. King,Don't Play That Song (Mono),Stand by Me,180055,False,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,4,rock
128,Guns N' Roses,Appetite For Destruction,Paradise City,405640,True,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,4,rock
129,Guns N' Roses,Appetite For Destruction,Welcome To The Jungle,273480,True,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,4,hard-rock
130,Jason Derulo,Take You Dancing,Take You Dancing,190306,False,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,4,dance
131,Felix Jaehn;The Stickmen Project;Calum Scott,Rain In Ibiza,Rain In Ibiza,141931,False,0.654,0.898,7,-5.964,1,0.0413,0.0844,0.0347,0.316,0.722,123.996,4,german
132,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,alternative
133,Billy Joel,Piano Man (Legacy Edition),Piano Man,339000,False,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3,folk
134,The Offspring,Americana,The Kids Aren't Alright,180160,False,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4,alt-rock
135,Lauv;Troye Sivan,~how i'm feeling~,i'm so tired...,162586,False,0.576,0.736,11,-7.572,1,0.224,0.178,0.0,0.238,0.484,101.928,4,dance
136,OneRepublic,West Coast,West Coast,192947,False,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057,4,piano
137,Chord Overstreet,Hold On,Hold On,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic
138,Marshmello;Bastille,Happier,Happier,214289,False,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4,progressive-house
139,Maluma,Sobrio,Sobrio,201180,False,0.762,0.77,5,-2.758,1,0.223,0.138,0.0,0.15,0.631,177.998,4,latino
140,Third Eye Blind,Third Eye Blind,Semi-Charmed Life,268360,False,0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,4,grunge
141,Slipknot,Vol. 3: The Subliminal Verses,Before I Forget,278600,False,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,4,alternative
142,GANGGA,Blue Jeans,Blue Jeans,211483,False,0.639,0.297,7,-11.18,1,0.0334,0.938,0.0839,0.18,0.292,113.989,3,singer-songwriter
143,Mitski,Be the Cowboy,Nobody,193429,False,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,4,indie-pop
144,Daft Punk;Pharrell Williams;Nile Rodgers,Random Access Memories,Get Lucky (feat. Pharrell Williams & Nile Rodgers),369626,False,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,4,electro
145,Sigala;Talia Mar,Stay the Night,Stay the Night,171954,False,0.636,0.936,7,-2.65,0,0.0729,0.177,0.0,0.0879,0.415,124.034,4,edm
146,The Strokes,Room On Fire,Reptilia,219826,False,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4,alt-rock
147,Shania Twain,Come On Over,You're Still The One,212200,False,0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,4,country
148,Eminem;Dido,The Marshall Mathers LP,Stan,404106,True,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,4,hip-hop
149,Måneskin,Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,173346,True,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,4,indie-pop
150,Mitski,Be the Cowboy,Nobody,193429,False,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,4,indie
151,Mild High Club,Skiptracing,Homage,177493,False,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4,indie
152,John Mayer,Continuum,Slow Dancing in a Burning Room,242000,False,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,5,singer-songwriter
153,Natti Natasha;Ozuna,Criminal,Criminal,232549,False,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,4,reggaeton
154,The Neighbourhood,I Love You.,Sweater Weather,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alternative
155,Ariana Grande,Positions,positions,172324,True,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,pop
156,The Neighbourhood,Wiped Out!,The Beach,255133,False,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,4,rock
157,Swedish House Mafia;The Weeknd,Paradise Again,Moth To A Flame (with The Weeknd),234000,False,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,4,progressive-house
158,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,178567,True,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4,reggaeton
159,benny blanco;Halsey;Khalid,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),173799,False,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,4,dance
